title,Conference,Type,virtualsite_url,domain/subject,MLTech,openreview_link
∇^2DFT: A Universal Quantum Chemistry Dataset of Drug-Like Molecules and a Benchmark for Neural Network Potentials,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97788,chemistry,neural_network,https://openreview.net/forum?id=tev3oraAUy
3D Structure Prediction of Atomic Systems with Flow-based Direct Preference Optimization,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96013,multidisciplinary,flow_matching,https://openreview.net/forum?id=EpusiLXfNd
A benchmark for prediction of transcriptomic responses to chemical perturbations across cell types,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97655,biology,,https://openreview.net/forum?id=WTI4RJYSVm#discussion
Absorb & Escape: Overcoming Single Model Limitations in Generating Heterogeneous Genomic Sequences,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94782,biology,diffusion_model;autoregressive_model,https://openreview.net/forum?id=XHTl2k1LYk
AllClear: A Comprehensive Dataset and Benchmark for Cloud Removal in Satellite Imagery,NeurIPS 2024,Spotlight,https://neurips.cc//virtual/2024/poster/97502,earth_climate,,https://openreview.net/forum?id=pn0Jpyvrc2#discussion
AFBench: A Large-scale Benchmark for Airfoil Design,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97739,physics,generation_model,https://openreview.net/forum?id=LdxNWDNvC3&noteId=J4yOLIi92x
A Recipe for Charge Density Prediction,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94512,materials,neural_network,https://openreview.net/forum?id=b7REKaNUTv
Antigen-Specific Antibody Design via Direct Energy-based Preference Optimization,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95910,biology,diffusion_model;energy_based,https://openreview.net/forum?id=GN2GXjPyN8
Aligning Target-Aware Molecule Diffusion Models with Exact Energy Optimization,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96029,chemistry,diffusion_model,https://openreview.net/forum?id=EWcvxXtzNu
A SARS-CoV-2 Interaction Dataset and VHH Sequence Corpus for Antibody Language Models,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97722,biology,language_model,https://openreview.net/forum?id=Na2gnQFkn8#discussion
AsEP: Benchmarking Deep Learning Methods for Antibody-specific Epitope Prediction,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97702,biology,language_model;graph_neural_network,https://openreview.net/forum?id=Q7xKdEMrrZ
Arctique: An artificial histopathological dataset unifying realism and controllability for uncertainty quantification,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97676,medical_healthcare,,https://openreview.net/forum?id=TyIWrwzpgu
Acoustic Volume Rendering for Neural Impulse Response Fields,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94712,physics,neural_network,https://openreview.net/forum?id=YCKuXkw6UL
Beyond Efficiency: Molecular Data Pruning for Enhanced Generalization,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95914,chemistry,neural_network,https://openreview.net/forum?id=GJ0qIevGjD
Bidirectional Recurrence for Cardiac Motion Tracking with Gaussian Process Latent Coding,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96144,medical_healthcare,gaussian_process,https://openreview.net/forum?id=CTIFk7b9jU
Binding in hippocampal-entorhinal circuits enables compositionality in cognitive maps,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95714,neuroscience,,https://openreview.net/forum?id=JO6T4rEJ32
BIOSCAN-5M: A Multimodal Dataset for Insect Biodiversity,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97824,biology,,https://openreview.net/forum?id=A33u66KmYf#discussion
BioTrove: A Large Curated Image Dataset Enabling AI for Biodiversity,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97806,biology,,https://openreview.net/forum?id=DFDCtGQs7S
Bridge-IF: Learning Inverse Protein Folding with Markov Bridges,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95261,biology,diffusion_model,https://openreview.net/forum?id=Q8yfhrBBD8
Bridging Geometric States via Geometric Diffusion Bridge,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/92944,materials,diffusion_model,https://openreview.net/forum?id=zcEPOB9rCR
Bridging Model-Based Optimization and Generative Modeling via Conservative Fine-Tuning of Diffusion Models,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/92964,biology,diffusion_model,https://openreview.net/forum?id=zIr2QjU4hl
BuckTales: A multi-UAV dataset for multi-object tracking and re-identification of wild antelopes,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97563,biology,,https://openreview.net/forum?id=hgl4dYE76J
Building Timeseries Dataset: Empowering Large-Scale Building Analytics,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97839,earth_climate,,https://openreview.net/forum?id=6cCFK69vJI
Boosting Generalization in Parametric PDE Neural Solvers through Adaptive Conditioning,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95866,physics,neural_network,https://openreview.net/forum?id=GuY0zB2xVU
BrainBits: How Much of the Brain are Generative Reconstruction Methods Using?,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95678,neuroscience,generative_model,https://openreview.net/forum?id=KAAUvi4kpb
Brain-JEPA: Brain Dynamics Foundation Model with Gradient Positioning and Spatiotemporal Masking,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94113,neuroscience,foundation_model,https://openreview.net/forum?id=gtU2eLSAmO
Brain Treebank: Large-scale intracranial recordings from naturalistic language stimuli,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97751,neuroscience,,https://openreview.net/forum?id=KZlJF8kguO
Causal Inference in the Closed-Loop: Marginal Structural Models for Sequential Excursion Effects,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96183,neuroscience,causal_inference,https://openreview.net/forum?id=BgZcuEsYU8
CAT: Coordinating Anatomical-Textual Prompts for Multi-Organ and Tumor Segmentation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93532,medical_healthcare,transformer,https://openreview.net/forum?id=pnmUiVAGnv
Causal Deciphering and Inpainting in Spatio-Temporal Dynamics via Diffusion Model,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96868,earth_climate,diffusion_model,https://openreview.net/forum?id=1ONdF1JHyJ
Cell ontology guided transcriptome foundation model,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94537,biology,foundation_model,https://openreview.net/forum?id=aeYNVtTo7o
"ChaosBench: A Multi-Channel, Physics-Based Benchmark for Subseasonal-to-Seasonal Climate Prediction",NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97481,earth_climate,,https://openreview.net/forum?id=AE2yGHS7fK
CARE: a Benchmark Suite for the Classification and Retrieval of Enzymes,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97712,biology,,https://openreview.net/forum?id=PFwlw9bnAr#discussion
CARES: A Comprehensive Benchmark of Trustworthiness in Medical Vision Language Models,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97614,medical_healthcare,vision_language_model,https://openreview.net/forum?id=b6IBmU1uzw
Can LLMs Solve Molecule Puzzles? A Multimodal Benchmark for Molecular Structure Elucidation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97472,chemistry,large_language_model,https://openreview.net/forum?id=t1mAXb4Cop
Can Transformers Smell Like Humans?,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96729,biology,transformer,https://openreview.net/forum?id=3f8i9GlBzu
Conditional Synthesis of 3D Molecules with Time Correction Sampler,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94127,chemistry,diffusion_model,https://openreview.net/forum?id=gipFTlvfF1
Construction and Application of Materials Knowledge Graph in Multidisciplinary Materials Science via Large Language Model,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95920,materials,knowledge_graph,https://openreview.net/forum?id=GB5a0RRYuv
Consistency Models for Scalable and Fast Simulation-Based Inference,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95775,multidisciplinary,diffusion_model,https://openreview.net/forum?id=IHjKpKljyH
Constrained Synthesis with Projected Diffusion Models,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95942,multidisciplinary,diffusion_model,https://openreview.net/forum?id=FsdB3I9Y24
Contrastive losses as generalized models of global epistasis,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94075,biology,contrastive_learning,https://openreview.net/forum?id=hLoiXOzoly
Contrastive-Equivariant Self-Supervised Learning Improves Alignment with Primate Visual Area IT,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96235,neuroscience,self_supervised_learning,https://openreview.net/forum?id=AiMs8GPP5q
Crafting Interpretable Embeddings for Language Neuroscience by Asking LLMs Questions,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93720,neuroscience,large_language_model,https://openreview.net/forum?id=mxMvWwyBWe
Cross-Care: Assessing the Healthcare Implications of Pre-training Data on Language Model Bias,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97819,medical_healthcare,large_language_model,https://openreview.net/forum?id=AxToUp4FMU#discussion
CryoBench: Diverse and challenging datasets for the heterogeneity problem in cryo-EM,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97535,biology,,https://openreview.net/forum?id=kP92Fyc6ry
CryoGEM: Physics-Informed Generative Cryo-Electron Microscopy,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94256,biology,diffusion_model,https://openreview.net/forum?id=edOZifvwMi
CryoSPIN: Improving Ab-Initio Cryo-EM Reconstruction with Semi-Amortized Pose Inference,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96869,biology,generative_model,https://openreview.net/forum?id=1MCseWaFZb
DiffPhyCon: A Generative Approach to Control Complex Physical Systems,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95505,physics,diffusion_model,https://openreview.net/forum?id=MbZuh8L0Xg
DiffusionPDE: Generative PDE-Solving under Partial Observation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/92980,physics,diffusion_model,https://openreview.net/forum?id=z0I2SbjN0R
Diffusion Twigs with Loop Guidance for Conditional Graph Generation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94177,chemistry,diffusion_model,https://openreview.net/forum?id=fvOCJAAYLx
Differentiable Modal Synthesis for Physical Modeling of Planar String Sound and Motion Simulation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94184,physics,neural_network,https://openreview.net/forum?id=fpxRpPbF1t
DiffusionBlend: Learning 3D Image Prior through Position-aware Diffusion Score Blending for 3D Computed Tomography Reconstruction,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94095,medical_healthcare,diffusion_model,https://openreview.net/forum?id=h3Kv6sdTWO
Doob's Lagrangian: A Sample-Efficient Variational Approach to Transition Path Sampling,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95087,chemistry,generation_model,https://openreview.net/forum?id=ShJWT0n7kX
DiffPO: A causal diffusion model for learning distributions of potential outcomes,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93743,medical_healthcare,diffusion_model,https://openreview.net/forum?id=merJ77Jipt
Equivariant Blurring Diffusion for Hierarchical Molecular Conformer Generation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96234,chemistry,diffusion_model,https://openreview.net/forum?id=Aj0Zf28l6o
Equivariant Neural Diffusion for Molecule Generation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96702,chemistry,diffusion_model,https://openreview.net/forum?id=40pE5pFhWl
Equivariant spatio-hemispherical networks for diffusion MRI deconvolution,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95476,neuroscience,neural_network,https://openreview.net/forum?id=MxWpCherzD
ET-Flow: Equivariant Flow-Matching for Molecular Conformer Generation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94522,chemistry,diffusion_model,https://openreview.net/forum?id=avsZ9OlR60
Indoor Air Quality Dataset with Activities of Daily Living in Low to Middle-income Communities,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97565,earth_climate,time_series,https://openreview.net/forum?id=hceKrY4dfC
Inexact Augmented Lagrangian Methods for Conic Optimization: Quadratic Growth and Linear Convergence,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95084,math,optimization_algorithm,https://openreview.net/forum?id=Sj8G020ADl
Inference of Neural Dynamics Using Switching Recurrent Neural Networks,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/92945,neuroscience,recurrent_neural_network,https://openreview.net/forum?id=zb8jLAh2VN
Inference on the Change Point under a High Dimensional Covariance Shift,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/98303,math,statistical_method,
Infusing Self-Consistency into Density Functional Theory Hamiltonian Prediction via Deep Equilibrium Models,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95309,materials,deep_equilibrium_model,https://openreview.net/forum?id=PSVkinBs4u
Infusing Synthetic Data with Real-World Patterns for Zero-Shot Material State Segmentation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97821,materials,computer_vision_model,https://openreview.net/forum?id=AdpSHMOujG
INQUIRE: A Natural World Text-to-Image Retrieval Benchmark,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97543,biology,multimodal_model,https://openreview.net/forum?id=jbrMS0DNaD
Inferring stochastic low-rank recurrent neural networks from neural data,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96170,neuroscience,recurrent_neural_network,https://openreview.net/forum?id=C0EhyoPpTN
Metric Flow Matching for Smooth Interpolations on the Data Manifold,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94221,biology,flow_matching,https://openreview.net/forum?id=fE3RqiF4Nx
Metrizing Weak Convergence with Maximum Mean Discrepancies,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/98329,math,kernel_method,
Micro-Bench: A Microscopy Benchmark for Vision-Language Understanding,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97589,biology,dataset,https://openreview.net/forum?id=eRleg6vy0Y
MiSO: Optimizing brain stimulation to create neural activity states,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95894,neuroscience,neural_network,https://openreview.net/forum?id=Gb0mXhn5h3
MMSite: A Multi-modal Framework for the Identification of Active Sites in Proteins,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94780,biology,multimodal_deep_learning,https://openreview.net/forum?id=XHdwlbNSVb
Model Based Inference of Synaptic Plasticity Rules,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93446,neuroscience,neural_network,https://openreview.net/forum?id=rI80PHlnFm
Model Decides How to Tokenize: Adaptive DNA Sequence Tokenization with MxDNA,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96261,biology,mixture_of_experts,https://openreview.net/forum?id=AQ1umQL7dZ
MotionTTT: 2D Test-Time-Training Motion Estimation for 3D Motion Corrected MRI,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94551,medical_healthcare,test_time_training,https://openreview.net/forum?id=aUHSwmHRVb
Multi-Scale Representation Learning for Protein Fitness Prediction,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93883,biology,geometric_gnn,https://openreview.net/forum?id=kWMVzIdCEn
Muscles in Time: Learning to Understand Human Motion In-Depth by Simulating Muscle Activations,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97794,biology,simulation_dataset,https://openreview.net/forum?id=EFV7fLZRWO
MutaPLM: Protein Language Modeling for Mutation Explanation and Engineering,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/92987,biology,protein_language_model,https://openreview.net/forum?id=yppcLFeZgy
Navigating Chemical Space with Latent Flows,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94584,chemistry,flow_model,https://openreview.net/forum?id=aAaV4ZbQ9j
NeuralClothSim: Neural Deformation Fields Meet the Thin Shell Theory,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93518,physics,neural_field,https://openreview.net/forum?id=pzJjlnMvk5
Neural P$^3$M: A Long-Range Interaction Modeling Enhancer for Geometric GNNs,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93679,chemistry,geometric_gnn,https://openreview.net/forum?id=ncqauwSyl5
Neural Embeddings Rank: Aligning 3D latent dynamics with movements,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95804,neuroscience,dimensionality_reduction,https://openreview.net/forum?id=Hlcek7AYgP
Nuclear Fusion Diamond Polishing Dataset,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97539,materials,dataset,https://openreview.net/forum?id=kBvwv92E1S
SARDet-100K: Towards Open-Source Benchmark and ToolKit for Large-Scale SAR Object Detection,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94539,earth_climate,neural_network,https://openreview.net/forum?id=abuQMKDVkW
Safe Time-Varying Optimization based on Gaussian Processes with Spatio-Temporal Kernel,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93028,physics,gaussian_process,https://openreview.net/forum?id=yKvHJJE9le
Satformer: Accurate and Robust Traffic Data Estimation for Satellite Networks,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94867,physics,transformer,https://openreview.net/forum?id=Vw1V9AgPXW
SegVol: Universal and Interactive Volumetric Medical Image Segmentation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96893,medical_healthcare,transformer,https://openreview.net/forum?id=105ZuvpdyW
SciCode: A Research Coding Benchmark Curated by Scientists,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97822,multidisciplinary,,https://openreview.net/forum?id=ADLaALtdoG
SciFIBench: Benchmarking Large Multimodal Models for Scientific Figure Interpretation,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97770,multidisciplinary,vision_language_model,https://openreview.net/forum?id=HcLFNuQwy5
SciInstruct: a Self-Reflective Instruction Annotated Dataset for Training Scientific Language Models,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97744,multidisciplinary,,https://openreview.net/forum?id=LC1QAqhePv
Score-based 3D molecule generation with neural fields,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96296,chemistry,diffusion_model,https://openreview.net/forum?id=9lGJrkqJUw
Semi-supervised Knowledge Transfer Across Multi-omic Single-cell Data,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93394,biology,neural_network,https://openreview.net/forum?id=sKEhebkEdz
SeafloorAI: A Large-scale Vision-Language Dataset for Seafloor Geological Survey,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97432,earth_climate,vision_language_model,https://openreview.net/forum?id=yWMMKm81vZ
SEA: State-Exchange Attention for High-Fidelity Physics Based Transformers,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96727,physics,transformer,https://openreview.net/forum?id=3gvGZhkkVt
Segment Any Change,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96101,earth_climate,transformer,https://openreview.net/forum?id=D7X9Grmd7L
Sim2Real-Fire: A Multi-modal Simulation Dataset for Forecast and Backtracking of Real-world Forest Fire,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97800,earth_climate,transformer,https://openreview.net/forum?id=DjCSjizgsH
SolarCube: An Integrative Benchmark Dataset Harnessing Satellite and In-situ Observations for Large-scale Solar Energy Forecasting,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97653,earth_climate,transformer,https://openreview.net/forum?id=WffhOhYvZ0
Solving Inverse Problems via Diffusion Optimal Control,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93119,physics,diffusion_model,https://openreview.net/forum?id=wqLC4G1GN3
Space-Time Continuous PDE Forecasting using Equivariant Neural Fields,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93158,physics,neural_field,https://openreview.net/forum?id=wN5AgP0DJ0
Spatio-Spectral Graph Neural Networks,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/96137,biology,graph_neural_network,https://openreview.net/forum?id=Cb3kcwYBgw
Slice-100K: A Multimodal Dataset for Extrusion-based 3D Printing,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97577,materials,,https://openreview.net/forum?id=gad19kaPzb
SR-CACO-2: A Dataset for Confocal Fluorescence Microscopy Image Super-Resolution,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97775,biology,,https://openreview.net/forum?id=GtYd9PCaaB
SSDiff: Spatial-spectral Integrated Diffusion Model for Remote Sensing Pansharpening,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95240,earth_climate,diffusion_model,https://openreview.net/forum?id=QMVydwvrx7
SubgDiff: A Subgraph Diffusion Model to Improve Molecular Representation Learning,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94004,chemistry,diffusion_model,https://openreview.net/forum?id=iSMTo0toDO
Stochastic Optimal Control for Diffusion Bridges in Function Spaces,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94802,math,stochastic_control,https://openreview.net/forum?id=WyQW4G57Zd
Stochastic Optimal Control Matching,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/93135,math,stochastic_control,https://openreview.net/forum?id=wfU2CdgmWt
Stochastic Taylor Derivative Estimator: Efficient amortization for arbitrary differential operators,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95741,math,derivative_estimation,https://openreview.net/forum?id=J2wI2rCG2u
Structured Learning of Compositional Sequential Interventions,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/95943,social_science,causal_model,https://openreview.net/forum?id=FsA0OSsdzJ
The Importance of Being Scalable: Improving the Speed and Accuracy of Neural Network Interatomic Potentials Across Chemical Domains,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/94722,materials,graph_neural_network,https://openreview.net/forum?id=Y4mBaZu4vy
The iNaturalist Sounds Dataset,NeurIPS 2024,Poster,https://neurips.cc//virtual/2024/poster/97701,biology,,https://openreview.net/forum?id=QCY01LvyKm
