Title,Conference,Type,Application,MLTech,OpenReviewLink
∇^2DFT: A Universal Quantum Chemistry Dataset of Drug-Like Molecules and a Benchmark for Neural Network Potentials,NeurIPS_2024,Poster,Chemistry,neural_network,https://openreview.net/forum?id=tev3oraAUy
3D Structure Prediction of Atomic Systems with Flow-based Direct Preference Optimization,NeurIPS_2024,Poster,Multidisciplinary,flow_matching,https://openreview.net/forum?id=EpusiLXfNd
A benchmark for prediction of transcriptomic responses to chemical perturbations across cell types,NeurIPS_2024,Poster,Biology,,https://openreview.net/forum?id=WTI4RJYSVm#discussion
Absorb & Escape: Overcoming Single Model Limitations in Generating Heterogeneous Genomic Sequences,NeurIPS_2024,Poster,Biology,diffusion_model;autoregressive_model,https://openreview.net/forum?id=XHTl2k1LYk
AllClear: A Comprehensive Dataset and Benchmark for Cloud Removal in Satellite Imagery,NeurIPS_2024,Spotlight,Earth_climate,,https://openreview.net/forum?id=pn0Jpyvrc2#discussion
AFBench: A Large-scale Benchmark for Airfoil Design,NeurIPS_2024,Poster,Physics,generation_model,https://openreview.net/forum?id=LdxNWDNvC3&noteId=J4yOLIi92x
A Recipe for Charge Density Prediction,NeurIPS_2024,Poster,Materials,neural_network,https://openreview.net/forum?id=b7REKaNUTv
Antigen-Specific Antibody Design via Direct Energy-based Preference Optimization,NeurIPS_2024,Poster,Biology,diffusion_model;energy_based,https://openreview.net/forum?id=GN2GXjPyN8
Aligning Target-Aware Molecule Diffusion Models with Exact Energy Optimization,NeurIPS_2024,Poster,Chemistry,diffusion_model,https://openreview.net/forum?id=EWcvxXtzNu
A SARS-CoV-2 Interaction Dataset and VHH Sequence Corpus for Antibody Language Models,NeurIPS_2024,Poster,Biology,language_model,https://openreview.net/forum?id=Na2gnQFkn8#discussion
AsEP: Benchmarking Deep Learning Methods for Antibody-specific Epitope Prediction,NeurIPS_2024,Poster,Biology,language_model;graph_neural_network,https://openreview.net/forum?id=Q7xKdEMrrZ
Arctique: An artificial histopathological dataset unifying realism and controllability for uncertainty quantification,NeurIPS_2024,Poster,Medical_healthcare,,https://openreview.net/forum?id=TyIWrwzpgu
Acoustic Volume Rendering for Neural Impulse Response Fields,NeurIPS_2024,Poster,Physics,neural_network,https://openreview.net/forum?id=YCKuXkw6UL
Beyond Efficiency: Molecular Data Pruning for Enhanced Generalization,NeurIPS_2024,Poster,Chemistry,neural_network,https://openreview.net/forum?id=GJ0qIevGjD
Bidirectional Recurrence for Cardiac Motion Tracking with Gaussian Process Latent Coding,NeurIPS_2024,Poster,Medical_healthcare,gaussian_process,https://openreview.net/forum?id=CTIFk7b9jU
Binding in hippocampal-entorhinal circuits enables compositionality in cognitive maps,NeurIPS_2024,Poster,Neuroscience,,https://openreview.net/forum?id=JO6T4rEJ32
BIOSCAN-5M: A Multimodal Dataset for Insect Biodiversity,NeurIPS_2024,Poster,Biology,,https://openreview.net/forum?id=A33u66KmYf#discussion
BioTrove: A Large Curated Image Dataset Enabling AI for Biodiversity,NeurIPS_2024,Poster,Biology,,https://openreview.net/forum?id=DFDCtGQs7S
Bridge-IF: Learning Inverse Protein Folding with Markov Bridges,NeurIPS_2024,Poster,Biology,diffusion_model,https://openreview.net/forum?id=Q8yfhrBBD8
Bridging Geometric States via Geometric Diffusion Bridge,NeurIPS_2024,Poster,Materials,diffusion_model,https://openreview.net/forum?id=zcEPOB9rCR
Bridging Model-Based Optimization and Generative Modeling via Conservative Fine-Tuning of Diffusion Models,NeurIPS_2024,Poster,Biology,diffusion_model,https://openreview.net/forum?id=zIr2QjU4hl
